branch,fold,horizon,formulation,bundle,round,pool_hash,fit_label_cutoff,available_by,excluded_families,pool_families,pool_max_source_available_ord,pool_n_copies,status,n_fit,n_fit_used,fit_max_target_ord,model_kind
original,2026,0,direct,X6,24303,fa20093c92f172f1,24302,24303,local:2025-04,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744,24294,0,ok,1728,1728,24294.0,xgboost
original,2026,0,direct,X6,24306,d3f7254e57e7c770,24305,24306,local:2025-07,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04,24303,0,ok,2632,2632,24303.0,xgboost
original,2026,0,direct,X6,24308,695f6814c0dc2c73,24307,24308,local:2025-09,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07,24306,0,ok,2696,2696,24306.0,xgboost
original,2026,0,direct,X6,24309,01b9f13cf65d2238,24308,24309,local:2025-10,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07;local:2025-09,24308,0,ok,2700,2700,24308.0,xgboost
original,2026,0,residual,X1,24288,8e84abc5ea4a19c4,24287,24288,anl:65024769,anl:33607389;anl:54775925;anl:59090932,24283,0,ok,1018,632,24283.0,xgboost
original,2026,0,residual,X1,24294,a00b1a6ed251d15a,24293,24294,anl:69455744,anl:33607389;anl:54775925;anl:59090932;anl:65024769,24288,0,ok,1373,969,24288.0,xgboost
original,2026,0,residual,X1,24303,fa20093c92f172f1,24302,24303,local:2025-04,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744,24294,0,ok,1728,1319,24294.0,xgboost
original,2026,0,residual,X1,24306,d3f7254e57e7c770,24305,24306,local:2025-07,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04,24303,0,ok,2632,2196,24303.0,xgboost
original,2026,0,residual,X1,24308,695f6814c0dc2c73,24307,24308,local:2025-09,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07,24306,0,ok,2696,2260,24306.0,xgboost
original,2026,0,residual,X1,24309,01b9f13cf65d2238,24308,24309,local:2025-10,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07;local:2025-09,24308,0,ok,2700,2264,24308.0,xgboost
original,2026,0,residual,X2,24288,8e84abc5ea4a19c4,24287,24288,anl:65024769,anl:33607389;anl:54775925;anl:59090932,24283,0,ok,1018,632,24283.0,xgboost
original,2026,0,residual,X2,24294,a00b1a6ed251d15a,24293,24294,anl:69455744,anl:33607389;anl:54775925;anl:59090932;anl:65024769,24288,0,ok,1373,969,24288.0,xgboost
original,2026,0,residual,X2,24303,fa20093c92f172f1,24302,24303,local:2025-04,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744,24294,0,ok,1728,1319,24294.0,xgboost
original,2026,0,residual,X2,24306,d3f7254e57e7c770,24305,24306,local:2025-07,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04,24303,0,ok,2632,2196,24303.0,xgboost
original,2026,0,residual,X2,24308,695f6814c0dc2c73,24307,24308,local:2025-09,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07,24306,0,ok,2696,2260,24306.0,xgboost
original,2026,0,residual,X2,24309,01b9f13cf65d2238,24308,24309,local:2025-10,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07;local:2025-09,24308,0,ok,2700,2264,24308.0,xgboost
original,2026,0,residual,X3,24288,8e84abc5ea4a19c4,24287,24288,anl:65024769,anl:33607389;anl:54775925;anl:59090932,24283,0,ok,1018,632,24283.0,xgboost
original,2026,0,residual,X3,24294,a00b1a6ed251d15a,24293,24294,anl:69455744,anl:33607389;anl:54775925;anl:59090932;anl:65024769,24288,0,ok,1373,969,24288.0,xgboost
original,2026,0,residual,X3,24303,fa20093c92f172f1,24302,24303,local:2025-04,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744,24294,0,ok,1728,1319,24294.0,xgboost
original,2026,0,residual,X3,24306,d3f7254e57e7c770,24305,24306,local:2025-07,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04,24303,0,ok,2632,2196,24303.0,xgboost
original,2026,0,residual,X3,24308,695f6814c0dc2c73,24307,24308,local:2025-09,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07,24306,0,ok,2696,2260,24306.0,xgboost
original,2026,0,residual,X3,24309,01b9f13cf65d2238,24308,24309,local:2025-10,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07;local:2025-09,24308,0,ok,2700,2264,24308.0,xgboost
original,2026,0,residual,X4,24288,8e84abc5ea4a19c4,24287,24288,anl:65024769,anl:33607389;anl:54775925;anl:59090932,24283,0,ok,1018,632,24283.0,xgboost
original,2026,0,residual,X4,24294,a00b1a6ed251d15a,24293,24294,anl:69455744,anl:33607389;anl:54775925;anl:59090932;anl:65024769,24288,0,ok,1373,969,24288.0,xgboost
original,2026,0,residual,X4,24303,fa20093c92f172f1,24302,24303,local:2025-04,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744,24294,0,ok,1728,1319,24294.0,xgboost
original,2026,0,residual,X4,24306,d3f7254e57e7c770,24305,24306,local:2025-07,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04,24303,0,ok,2632,2196,24303.0,xgboost
original,2026,0,residual,X4,24308,695f6814c0dc2c73,24307,24308,local:2025-09,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07,24306,0,ok,2696,2260,24306.0,xgboost
original,2026,0,residual,X4,24309,01b9f13cf65d2238,24308,24309,local:2025-10,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07;local:2025-09,24308,0,ok,2700,2264,24308.0,xgboost
original,2026,0,residual,X5,24288,8e84abc5ea4a19c4,24287,24288,anl:65024769,anl:33607389;anl:54775925;anl:59090932,24283,0,ok,1018,632,24283.0,xgboost
original,2026,0,residual,X5,24294,a00b1a6ed251d15a,24293,24294,anl:69455744,anl:33607389;anl:54775925;anl:59090932;anl:65024769,24288,0,ok,1373,969,24288.0,xgboost
original,2026,0,residual,X5,24303,fa20093c92f172f1,24302,24303,local:2025-04,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744,24294,0,ok,1728,1319,24294.0,xgboost
original,2026,0,residual,X5,24306,d3f7254e57e7c770,24305,24306,local:2025-07,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04,24303,0,ok,2632,2196,24303.0,xgboost
original,2026,0,residual,X5,24308,695f6814c0dc2c73,24307,24308,local:2025-09,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07,24306,0,ok,2696,2260,24306.0,xgboost
original,2026,0,residual,X5,24309,01b9f13cf65d2238,24308,24309,local:2025-10,anl:33607389;anl:54775925;anl:59090932;anl:65024769;anl:69455744;local:2025-04;local:2025-07;local:2025-09,24308,0,ok,2700,2264,24308.0,xgboost
